# Supplementary Table S1. Adopted IEEE 33-bus branch dataset used in all cases
# R and X in ohms; adopted branch thermal rating S_max in MVA (planning-threshold assumption).
"# Base: S_base = 100 MVA, V_base = 12.66 kV. Slack voltage 1.05 p.u. in all planning simulations."
Branch,From bus,To bus,R (ohm),X (ohm),Adopted S_max (MVA)
1,1,2,0.0922,0.0470,6.0
2,2,3,0.4930,0.2511,5.0
3,3,4,0.3660,0.1864,4.0
4,4,5,0.3811,0.1941,4.0
5,5,6,0.8190,0.7070,3.5
6,6,7,0.1872,0.6188,3.5
7,7,8,1.7114,1.2351,3.0
8,8,9,1.0300,0.7400,3.0
9,9,10,1.0440,0.7400,3.0
10,10,11,0.1966,0.0650,3.0
11,11,12,0.3744,0.1238,2.5
12,12,13,1.4680,1.1550,2.5
13,13,14,0.5416,0.7129,2.5
14,14,15,0.5910,0.5260,2.5
15,15,16,0.7463,0.5450,2.0
16,16,17,1.2890,1.7210,2.0
17,17,18,0.7320,0.5740,2.0
18,2,19,0.1640,0.1565,4.0
19,19,20,1.5042,1.3554,3.5
20,20,21,0.4095,0.4784,3.0
21,21,22,0.7089,0.9373,3.0
22,3,23,0.4512,0.3083,3.5
23,23,24,0.8980,0.7091,3.0
24,24,25,0.8960,0.7011,2.5
25,6,26,0.2030,0.1034,3.5
26,26,27,0.2842,0.1447,3.0
27,27,28,1.0590,0.9337,2.5
28,28,29,0.8042,0.7006,2.5
29,29,30,0.5075,0.2585,2.5
30,30,31,0.9744,0.9630,2.0
31,31,32,0.3105,0.3619,2.0
32,32,33,0.3410,0.5302,2.0
