Case,Bus,P_BESS_kW
P1/D1,6,0.0
P1/D1,10,0.0
P1/D1,14,0.0
P1/D1,18,0.0
P1/D1,22,0.0
P1/D1,26,0.0
P1/D2,6,0.0
P1/D2,10,0.0
P1/D2,14,0.0
P1/D2,18,0.0
P1/D2,22,0.0
P1/D2,26,0.0
P1/D3,6,0.0
P1/D3,10,0.0
P1/D3,14,53.534779
P1/D3,18,195.0
P1/D3,22,0.0
P1/D3,26,0.0
P1/D4,6,0.0
P1/D4,10,30.087115
P1/D4,14,240.0
P1/D4,18,240.0
P1/D4,22,0.0
P1/D4,26,0.0
P2/D1,14,0.0
P2/D1,16,0.0
P2/D1,17,0.0
P2/D1,18,0.0
P2/D1,30,0.0
P2/D1,33,0.0
P2/D2,14,0.0
P2/D2,16,0.0
P2/D2,17,55.343322
P2/D2,18,150.0
P2/D2,30,0.0
P2/D2,33,0.0
P2/D3,14,0.0
P2/D3,16,135.473397
P2/D3,17,195.0
P2/D3,18,195.0
P2/D3,30,0.0
P2/D3,33,0.0
P2/D4,14,135.558619
P2/D4,16,240.0
P2/D4,17,240.0
P2/D4,18,240.0
P2/D4,30,0.0
P2/D4,33,0.0
