BranchNo,Branch,P1_D1,P1_D2,P1_D3,P1_D4,P2_D1,P2_D2,P2_D3,P2_D4
1,1-2,87.2457721806825,94.5724747098522,100.200832397093,105.95121415954,87.9805770454197,96.0708492923955,102.455249586314,109.154292770471
2,2-3,92.3198637070343,99.7824960404046,105.532140051397,111.421934630703,95.0675045928093,104.701717704733,112.303506847656,120.278082976745
3,3-4,85.3480514093041,94.3420365362262,101.267273257286,108.354514700568,88.6664222730834,100.277425095051,109.426788669944,119.008460780516
4,4-5,81.045112969259,89.8815190247601,96.6748104321267,103.617044080595,84.3072572178123,95.7043803866829,104.666211122543,114.032903404
5,5-6,89.9588748614235,99.8717262789999,107.480161870552,115.243758643363,93.6213316722167,106.395342150959,116.417763207399,126.871264607571
6,6-7,43.7515588395547,49.8280768271223,54.488174263899,59.2444010806557,46.9891652945348,55.5143851812326,62.2045686030254,69.194897404632
7,7-8,43.3849998734621,50.4142570288553,55.7982397979302,61.2869521724017,47.1309378238171,56.9817842009242,64.6976401220922,72.7453142291527
8,8-9,35.1989236847342,41.961894281074,47.1099082168288,52.3285181686855,38.8093213898226,48.2394505047924,55.5592259393236,63.1288528953592
9,9-10,32.7950431129895,39.4211779020574,44.44678667808,49.5241122708823,36.3366336714437,45.5494136316111,52.6617852130542,59.9783287809226
10,10-11,27.2828008469147,31.6769361432077,35.007830718301,38.3712937321121,33.900283153262,42.904464309446,49.8164906599122,56.8874554355895
11,11-12,30.5690239265068,35.8320068721372,39.8188427349232,43.8423398495052,38.495090563822,49.2663876012947,57.5251737622622,65.9648322393568
12,12-13,27.7477484400699,32.9887469624781,36.9546739943224,40.9532360318428,35.6411267268753,46.3461603790322,54.537391526474,62.8919517214861
13,13-14,24.7563974452997,29.8947921689199,33.7665362565397,37.6547819692653,32.4971126588529,42.9087129087923,50.8057706838567,58.7912187339915
14,14-15,15.2714265858525,17.8506564718533,19.7945822061898,21.747630417754,22.9615173667883,30.7373907785474,36.6250381463383,42.569311573274
15,15-16,16.0555765728418,19.2632712343931,21.6789656949404,24.1040792186944,25.6166181101479,35.2597101271222,42.541618002614,49.8735268848009
16,16-17,12.8628238897069,16.0541996286876,18.4552574158893,20.8633462656858,17.6361749677707,24.0379053700721,28.8648115619662,33.7173068030305
17,17-18,9.66080583429506,12.8253458792524,15.2018001022233,17.5807822451077,9.66120605356223,12.8264086529614,15.2040754967349,17.5849212991708
18,2-19,12.2691433276313,13.8675389680691,15.0697962316372,16.2749050754204,9.88234980574045,9.88236874792225,9.8823844630057,9.88240013025934
19,19-20,11.2001665100713,13.0252774443601,14.3978888909359,15.7735755706388,8.47472885010501,8.47474748849008,8.47476285856363,8.47477827441458
20,20-21,9.72936943645631,11.8404267527157,13.4261135079877,15.0136149695443,6.57204438734205,6.5720476420886,6.57205073306212,6.57205342924657
21,21-22,6.439855579246,8.54842161253646,10.1314179468862,11.7155492880956,3.2848651802731,3.28486613721031,3.28486715467961,3.28486794858256
22,3-23,29.8242082909037,29.8251510154609,29.8258592431345,29.8265838186002,29.8245220980712,29.8256723679941,29.8265994058662,29.8275585274257
23,23-24,31.2536636777529,31.2544133871365,31.2549716009592,31.2555420942508,31.2539169699459,31.2548226703693,31.2555569362122,31.2563122274725
24,24-25,18.6653030444499,18.6654910120628,18.665623738921,18.6657585043433,18.6653719389931,18.665585945969,18.6657657514539,18.6659443577684
25,6-26,41.2095746396303,42.8613350615721,44.1096334500153,45.3655018137627,43.9895848196592,47.5885107953977,50.3425724261306,53.1414801448495
26,26-27,43.1759270759038,43.1894648793575,43.1999093375024,43.2107420820263,49.1780272293481,53.3316352143847,56.5124244429149,59.7461083511836
27,27-28,49.3254608452918,49.3400714450453,49.3513326882187,49.3630115669522,56.4192987228067,61.3372138036858,65.1060360152742,68.9386461815357
28,28-29,46.6038900672927,46.6116944291288,46.6176417180689,46.6238023833401,53.4354757324842,58.1662554688913,61.7879405422445,65.4655042266922
29,29-30,41.0383179270461,41.0414186865624,41.0437056146443,41.046066438136,47.5981243829499,52.161673801834,55.6604664966454,59.2139323806618
30,30-31,23.5898860351198,23.5913666280726,23.5924430667446,23.5935526905961,28.3422341333552,31.5287403035083,33.9270661861788,36.3323846862703
31,31-32,15.2215694290975,15.2218100149437,15.2219454047396,15.2220805227117,19.9256570201092,23.076212260251,25.4446925559541,27.8171406298856
32,32-33,3.60654706215477,3.60657303752904,3.606580819786,3.60658759385604,8.27262273911778,11.419457810523,13.7853657586171,16.1542737861046
