Case,Bus,P_BESS_kW,Q_add_kVAr,S_PCS_required_kVA,PCS_headroom_pct,Source_classification
P1/D1,6,0,64.0516670603027,NaN,NaN,External/local reactive resource
P1/D1,10,0,64.0516670603027,NaN,NaN,External/local reactive resource
P1/D1,14,0,64.0516670603027,NaN,NaN,External/local reactive resource
P1/D1,18,0,64.0516670603027,NaN,NaN,External/local reactive resource
P1/D1,22,0,64.0516670603027,NaN,NaN,External/local reactive resource
P1/D1,26,0,64.0516670603027,NaN,NaN,External/local reactive resource
P1/D2,6,0,146.656403658884,NaN,NaN,External/local reactive resource
P1/D2,10,0,146.656403658884,NaN,NaN,External/local reactive resource
P1/D2,14,0,146.656403658884,NaN,NaN,External/local reactive resource
P1/D2,18,0,146.656403658884,NaN,NaN,External/local reactive resource
P1/D2,22,0,146.656403658884,NaN,NaN,External/local reactive resource
P1/D2,26,0,146.656403658884,NaN,NaN,External/local reactive resource
P1/D3,6,0,84.2018510143607,NaN,NaN,External/local reactive resource
P1/D3,10,0,84.2018510143607,NaN,NaN,External/local reactive resource
P1/D3,14,53.534779325904,84.2018510143607,99.779378188671,86.3823470369487,BESS PCS candidate (if selected)
P1/D3,18,195,84.2018510143607,212.402805335157,8.92451555649076,BESS PCS candidate (if selected)
P1/D3,22,0,84.2018510143607,NaN,NaN,External/local reactive resource
P1/D3,26,3.43195365352849e-14,84.2018510143607,NaN,NaN,External/local reactive resource
P1/D4,6,0,43.1390882270137,NaN,NaN,External/local reactive resource
P1/D4,10,30.0871145269849,43.1390882270137,52.5948228784733,74.8084643720201,BESS PCS candidate (if selected)
P1/D4,14,240,43.1390882270137,243.846223946688,1.60259331111978,BESS PCS candidate (if selected)
P1/D4,18,240,43.1390882270137,243.846223946688,1.60259331111978,BESS PCS candidate (if selected)
P1/D4,22,0,43.1390882270137,NaN,NaN,External/local reactive resource
P1/D4,26,0,43.1390882270137,NaN,NaN,External/local reactive resource
P2/D1,14,0,82.6112410394711,NaN,NaN,External/local reactive resource
P2/D1,16,0,82.6112410394711,NaN,NaN,External/local reactive resource
P2/D1,17,0,82.6112410394711,NaN,NaN,External/local reactive resource
P2/D1,18,0,82.6112410394711,NaN,NaN,External/local reactive resource
P2/D1,30,0,82.6112410394711,NaN,NaN,External/local reactive resource
P2/D1,33,0,82.6112410394711,NaN,NaN,External/local reactive resource
P2/D2,14,2.88889491658085e-31,93.4016685568243,NaN,NaN,External/local reactive resource
P2/D2,16,7.89117691932418e-15,93.4016685568243,NaN,NaN,External/local reactive resource
P2/D2,17,55.3433215179537,93.4016685568243,108.566822399103,96.1696902559121,BESS PCS candidate (if selected)
P2/D2,18,150,93.4016685568243,176.702777819702,17.8018518798011,BESS PCS candidate (if selected)
P2/D2,30,1.66740384137303e-14,93.4016685568243,NaN,NaN,External/local reactive resource
P2/D2,33,8.84563080429838e-15,93.4016685568243,NaN,NaN,External/local reactive resource
P2/D3,14,5.2971683656446e-14,52.752999211715,NaN,NaN,External/local reactive resource
P2/D3,16,135.473396855428,52.752999211715,145.381980249891,7.31404366056927,BESS PCS candidate (if selected)
P2/D3,17,195,52.752999211715,202.009601073393,3.59466721712438,BESS PCS candidate (if selected)
P2/D3,18,195,52.752999211715,202.009601073393,3.59466721712438,BESS PCS candidate (if selected)
P2/D3,30,2.67624425967714e-14,52.752999211715,NaN,NaN,External/local reactive resource
P2/D3,33,6.35060481546324e-14,52.752999211715,NaN,NaN,External/local reactive resource
P2/D4,14,135.558618708833,19.1284445507506,136.901557687186,0.990670302740004,BESS PCS candidate (if selected)
P2/D4,16,240,19.1284445507506,240.761079477002,0.317116448750721,BESS PCS candidate (if selected)
P2/D4,17,240,19.1284445507506,240.761079477002,0.317116448750721,BESS PCS candidate (if selected)
P2/D4,18,240,19.1284445507506,240.761079477002,0.317116448750721,BESS PCS candidate (if selected)
P2/D4,30,6.49285870657687e-14,19.1284445507506,NaN,NaN,External/local reactive resource
P2/D4,33,0,19.1284445507506,NaN,NaN,External/local reactive resource
