Case,T_peak_h,alpha_off,E_batt_wd_total_MWh,T_floor_h,T_rec_star_h,P_ch_total_kW,max_Pch_over_rating,Vmin_pu,Lmax_pct,critical_voltage_bus,critical_branch,BFS_residual_pu,binding_constraint,monotone_V,monotone_L,monotone_ratio,max_energy_identity_error_MWh
P1/D3,2,0.5,0.523231114370324,2.21606648199446,2.21606648199446,248.534779325904,1,0.987955036949281,44.3850607135173,18,2-3,1.2534424113276e-13,PCS-power,1,1,1,0
P1/D3,2,0.7,0.523231114370324,2.21606648199446,2.21606648199446,248.534779325904,1,0.968955272300657,61.0121684527568,18,2-3,1.07801842871384e-13,PCS-power,1,1,1,0
P1/D3,2,0.85,0.523231114370324,2.21606648199446,2.21606648199446,248.534779325904,1,0.954265382603901,73.7610584491792,18,2-3,6.84723576731159e-13,PCS-power,1,1,1,0
P1/D3,2,1,0.523231114370324,2.21606648199446,4.76995685102013,115.466368203359,0.464588370756544,0.950000000000139,83.9166556762072,18,2-3,8.0887436033139e-14,voltage,1,1,1,5.55111512312578e-17
P1/D3,4,0.5,1.04646222874065,4.43213296398892,4.43213296398892,248.534779325904,1,0.987955036949281,44.3850607135173,18,2-3,1.2534424113276e-13,PCS-power,1,1,1,0
P1/D3,4,0.7,1.04646222874065,4.43213296398892,4.43213296398892,248.534779325904,1,0.968955272300657,61.0121684527568,18,2-3,1.07801842871384e-13,PCS-power,1,1,1,0
P1/D3,4,0.85,1.04646222874065,4.43213296398892,4.43213296398892,248.534779325904,1,0.954265382603901,73.7610584491792,18,2-3,6.84723576731159e-13,PCS-power,1,1,1,0
P1/D3,4,1,1.04646222874065,4.43213296398892,9.53991370195964,115.466368204335,0.464588370760471,0.950000000000061,83.9166556762277,18,2-3,8.06683450519577e-14,voltage,1,1,1,1.11022302462516e-16
P1/D3,6,0.5,1.56969334311097,6.64819944598338,6.64819944598338,248.534779325904,1,0.987955036949281,44.3850607135173,18,2-3,1.2534424113276e-13,PCS-power,1,1,1,2.46519032881566e-32
P1/D3,6,0.7,1.56969334311097,6.64819944598338,6.64819944598338,248.534779325904,1,0.968955272300657,61.0121684527568,18,2-3,1.07801842871384e-13,PCS-power,1,1,1,2.46519032881566e-32
P1/D3,6,0.85,1.56969334311097,6.64819944598338,6.64819944598338,248.534779325904,1,0.954265382603901,73.7610584491792,18,2-3,6.84723576731159e-13,PCS-power,1,1,1,2.46519032881566e-32
P1/D3,6,1,1.56969334311097,6.64819944598338,14.309870552879,115.466368204823,0.464588370762434,0.950000000000021,83.9166556762379,18,2-3,8.08870481524091e-14,voltage,1,1,1,5.55111512312578e-17
P1/D4,2,0.5,1.07386760953049,2.21606648199446,2.21606648199446,510.087114526985,1,0.971999908093302,50.7224612205393,18,5-6,1.51925239024684e-13,PCS-power,1,1,1,0
P1/D4,2,0.7,1.07386760953049,2.21606648199446,2.21606648199446,510.087114526985,1,0.952431826535007,66.4730591283088,18,2-3,1.17161660918967e-13,PCS-power,1,1,1,0
P1/D4,2,0.85,1.07386760953049,2.21606648199446,3.35019768684602,337.409031663651,0.661473348481932,0.950000000000001,75.5935071640119,18,2-3,9.98344399896645e-14,voltage,1,1,1,0
P1/D4,2,1,1.07386760953049,2.21606648199446,8.75388691838906,129.129718939589,0.253152285682287,0.950000000000046,84.1835424295497,18,2-3,8.24107189865705e-14,voltage,1,1,1,1.11022302462516e-16
P1/D4,4,0.5,2.14773521906099,4.43213296398892,4.43213296398892,510.087114526985,1,0.971999908093302,50.7224612205393,18,5-6,1.51925239024684e-13,PCS-power,1,1,1,0
P1/D4,4,0.7,2.14773521906099,4.43213296398892,4.43213296398892,510.087114526985,1,0.952431826535007,66.4730591283088,18,2-3,1.17161660918967e-13,PCS-power,1,1,1,0
P1/D4,4,0.85,2.14773521906099,4.43213296398892,6.70039537369204,337.409031663651,0.661473348481932,0.950000000000001,75.5935071640119,18,2-3,9.98344399896645e-14,voltage,1,1,1,0
P1/D4,4,1,2.14773521906099,4.43213296398892,17.5077738367126,129.129718940072,0.253152285683234,0.950000000000011,84.1835424295598,18,2-3,8.23007121856337e-14,voltage,1,1,1,0
P1/D4,6,0.5,3.22160282859148,6.64819944598338,6.64819944598338,510.087114526985,1,0.971999908093302,50.7224612205393,18,5-6,1.51925239024684e-13,PCS-power,1,1,1,0
P1/D4,6,0.7,3.22160282859148,6.64819944598338,6.64819944598338,510.087114526985,1,0.952431826535007,66.4730591283088,18,2-3,1.17161660918967e-13,PCS-power,1,1,1,0
P1/D4,6,0.85,3.22160282859148,6.64819944598338,10.0505930605381,337.409031663651,0.661473348481932,0.950000000000001,75.5935071640119,18,2-3,9.98344399896645e-14,voltage,1,1,1,2.22044604925031e-16
P1/D4,6,1,3.22160282859148,6.64819944598338,26.2616607550689,129.129718940072,0.253152285683234,0.950000000000011,84.1835424295598,18,2-3,8.22999662711266e-14,voltage,1,1,1,0
P2/D2,2,0.5,0.432301729511482,2.21606648199446,2.21606648199446,205.343321517954,1,0.990484196185697,43.541879594605,18,2-3,7.68805396024651e-14,PCS-power,1,1,1,2.77555756156289e-17
P2/D2,2,0.7,0.432301729511482,2.21606648199446,2.21606648199446,205.343321517954,1,0.971570385689858,60.1440627593038,18,2-3,7.05461097159534e-14,PCS-power,1,1,1,2.77555756156289e-17
P2/D2,2,0.85,0.432301729511482,2.21606648199446,2.21606648199446,205.343321517954,1,0.956951039962614,72.8701264581381,18,2-3,4.74586118235247e-13,PCS-power,1,1,1,2.77555756156289e-17
P2/D2,2,1,0.432301729511482,2.21606648199446,4.12436902348579,110.33310781021,0.537310427213302,0.950000000000115,83.8171475792861,18,2-3,8.09022843727622e-14,voltage,1,1,1,8.55284707229503e-50
P2/D2,4,0.5,0.864603459022963,4.43213296398892,4.43213296398892,205.343321517954,1,0.990484196185697,43.541879594605,18,2-3,7.68805396024651e-14,PCS-power,1,1,1,5.55111512312578e-17
P2/D2,4,0.7,0.864603459022963,4.43213296398892,4.43213296398892,205.343321517954,1,0.971570385689858,60.1440627593038,18,2-3,7.05461097159534e-14,PCS-power,1,1,1,5.55111512312578e-17
P2/D2,4,0.85,0.864603459022963,4.43213296398892,4.43213296398892,205.343321517954,1,0.956951039962614,72.8701264581381,18,2-3,4.74586118235247e-13,PCS-power,1,1,1,5.55111512312578e-17
P2/D2,4,1,0.864603459022963,4.43213296398892,8.24873804689096,110.333107811289,0.537310427218554,0.950000000000024,83.8171475793089,18,2-3,8.03515729521524e-14,voltage,1,1,1,2.77555756156289e-17
P2/D2,6,0.5,1.29690518853444,6.64819944598338,6.64819944598338,205.343321517954,1,0.990484196185697,43.541879594605,18,2-3,7.68805396024651e-14,PCS-power,1,1,1,0
P2/D2,6,0.7,1.29690518853444,6.64819944598338,6.64819944598338,205.343321517954,1,0.971570385689858,60.1440627593038,18,2-3,7.05461097159534e-14,PCS-power,1,1,1,0
P2/D2,6,0.85,1.29690518853444,6.64819944598338,6.64819944598338,205.343321517954,1,0.956951039962614,72.8701264581381,18,2-3,4.74586118235247e-13,PCS-power,1,1,1,0
P2/D2,6,1,1.29690518853444,6.64819944598338,12.3731070703364,110.333107811289,0.537310427218554,0.950000000000024,83.8171475793089,18,2-3,8.03515729521524e-14,voltage,1,1,1,1.11022302462516e-16
P2/D3,2,0.5,1.10625978285353,2.21606648199446,2.21606648199446,525.473396855428,1,0.966617052196115,51.3426271797347,18,5-6,4.85164184432729e-13,PCS-power,1,1,1,5.55111512312578e-17
P2/D3,2,0.7,1.10625978285353,2.21606648199446,2.39005478852302,487.22062253255,0.927203214184023,0.950000000000791,66.106523153623,18,2-3,1.99144184605662e-13,voltage,1,1,1,0
P2/D3,2,0.85,1.10625978285353,2.21606648199446,3.84413755977387,302.924638841381,0.576479495735012,0.950000000000225,74.9259245017842,18,2-3,1.039540353398e-13,voltage,1,1,1,0
P2/D3,2,1,1.10625978285353,2.21606648199446,10.0312354031859,116.085799519892,0.220916606272706,0.950000000000014,83.9313475268413,18,2-3,8.19980883433537e-14,voltage,1,1,1,2.46519032881566e-32
P2/D3,4,0.5,2.21251956570707,4.43213296398892,4.43213296398892,525.473396855428,1,0.966617052196115,51.3426271797347,18,5-6,4.85164184432729e-13,PCS-power,1,1,1,1.11022302462516e-16
P2/D3,4,0.7,2.21251956570707,4.43213296398892,4.78010957698155,487.220622539124,0.927203214196533,0.950000000000252,66.1065231537681,18,2-3,1.99031511673444e-13,voltage,1,1,1,1.11022302462516e-16
P2/D3,4,0.85,2.21251956570707,4.43213296398892,7.68827511954774,302.924638841381,0.576479495735012,0.950000000000225,74.9259245017842,18,2-3,1.039540353398e-13,voltage,1,1,1,0
P2/D3,4,1,2.21251956570707,4.43213296398892,20.0624708063719,116.085799519892,0.220916606272706,0.950000000000014,83.9313475268413,18,2-3,8.19980883433537e-14,voltage,1,1,1,4.93038065763132e-32
P2/D3,6,0.5,3.3187793485606,6.64819944598338,6.64819944598338,525.473396855428,1,0.966617052196115,51.3426271797347,18,5-6,4.85161613732949e-13,PCS-power,1,1,1,4.93038065763132e-32
P2/D3,6,0.7,3.3187793485606,6.64819944598338,7.17016436547232,487.220622539123,0.927203214196533,0.950000000000252,66.1065231537681,18,2-3,1.99031511673444e-13,voltage,1,1,1,1.11022302462516e-16
P2/D3,6,0.85,3.3187793485606,6.64819944598338,11.5324126792611,302.924638842969,0.576479495738034,0.950000000000096,74.9259245018184,18,2-3,1.03733299540289e-13,voltage,1,1,1,2.46519032881566e-32
P2/D3,6,1,3.3187793485606,6.64819944598338,30.0937062095578,116.085799519892,0.220916606272706,0.950000000000014,83.9313475268413,18,2-3,8.19988596104454e-14,voltage,1,1,1,1.11022302462516e-16
P2/D4,2,0.5,1.80117603938702,2.21606648199446,2.47719255946783,765.372385386719,0.894587896901536,0.950000000001159,58.6018396137769,18,5-6,5.67634140032319e-13,voltage,1,1,1,0
P2/D4,2,0.7,1.80117603938702,2.21606648199446,3.71084445487667,510.928119288454,0.597186572744158,0.950000000000838,66.5731069987246,18,2-3,1.88673951363827e-13,voltage,1,1,1,1.11022302462516e-16
P2/D4,2,0.85,1.80117603938702,2.21606648199446,5.97250160448856,317.45069383945,0.371044937071093,0.950000000000111,75.2108707619384,18,2-3,1.03234052612728e-13,voltage,1,1,1,2.46519032881566e-32
P2/D4,2,1,1.80117603938702,2.21606648199446,15.596095819785,121.567269155715,0.142091104568823,0.950000000000004,84.0389520840147,18,2-3,8.24280047622649e-14,voltage,1,1,1,0
P2/D4,4,0.5,3.60235207877404,4.43213296398892,4.95438511887116,765.372385396682,0.894587896913182,0.950000000000369,58.6018396140906,18,5-6,5.67307073037768e-13,voltage,1,1,1,2.22044604925031e-16
P2/D4,4,0.7,3.60235207877404,4.43213296398892,7.42168890967271,510.928119294004,0.597186572750645,0.950000000000405,66.5731069988468,18,2-3,1.8867318412488e-13,voltage,1,1,1,4.93038065763132e-32
P2/D4,4,0.85,3.60235207877404,4.43213296398892,11.9450032089771,317.45069383945,0.371044937071093,0.950000000000111,75.2108707619384,18,2-3,1.03234052612728e-13,voltage,1,1,1,4.93038065763132e-32
P2/D4,4,1,3.60235207877404,4.43213296398892,31.1921916395701,121.567269155715,0.142091104568823,0.950000000000004,84.0389520840147,18,2-3,8.24280047622649e-14,voltage,1,1,1,0
P2/D4,6,0.5,5.40352811816105,6.64819944598338,7.43157767830675,765.372385396682,0.894587896913182,0.950000000000369,58.6018396140906,18,5-6,5.67193799712256e-13,voltage,1,1,1,0
P2/D4,6,0.7,5.40352811816105,6.64819944598338,11.1325333644486,510.928119296779,0.597186572753889,0.950000000000188,66.5731069989078,18,2-3,1.89223373656459e-13,voltage,1,1,1,2.22044604925031e-16
P2/D4,6,0.85,5.40352811816105,6.64819944598338,17.9175048134082,317.450693840468,0.371044937072283,0.950000000000033,75.2108707619603,18,2-3,1.03124269875327e-13,voltage,1,1,1,2.22044604925031e-16
P2/D4,6,1,5.40352811816105,6.64819944598338,46.7882874593551,121.567269155715,0.142091104568823,0.950000000000004,84.0389520840147,18,2-3,8.24280047622649e-14,voltage,1,1,1,2.22044604925031e-16
