Case,T_peak_h,alpha_off,Bus,P_BESS_kW,E_batt_wd_MWh,P_ch_kW,P_ch_over_rating,E_restored_MWh,energy_error_MWh
P1/D3,2,0.5,14,53.534779325904,0.11270479858085,53.534779325904,1,0.11270479858085,0
P1/D3,2,0.5,18,195,0.410526315789474,195,1,0.410526315789474,0
P1/D3,2,0.5,26,3.43195365352849e-14,7.22516558637577e-17,3.43195365352849e-14,1,7.22516558637577e-17,0
P1/D3,2,0.7,14,53.534779325904,0.11270479858085,53.534779325904,1,0.11270479858085,0
P1/D3,2,0.7,18,195,0.410526315789474,195,1,0.410526315789474,0
P1/D3,2,0.7,26,3.43195365352849e-14,7.22516558637577e-17,3.43195365352849e-14,1,7.22516558637577e-17,0
P1/D3,2,0.85,14,53.534779325904,0.11270479858085,53.534779325904,1,0.11270479858085,0
P1/D3,2,0.85,18,195,0.410526315789474,195,1,0.410526315789474,0
P1/D3,2,0.85,26,3.43195365352849e-14,7.22516558637577e-17,3.43195365352849e-14,1,7.22516558637577e-17,0
P1/D3,2,1,14,53.534779325904,0.11270479858085,24.8716359058329,0.464588370756544,0.11270479858085,-1.38777878078145e-17
P1/D3,2,1,18,195,0.410526315789474,90.5947322975261,0.464588370756544,0.410526315789474,-5.55111512312578e-17
P1/D3,2,1,26,3.43195365352849e-14,7.22516558637577e-17,1.59444575640477e-14,0.464588370756544,7.22516558637577e-17,-1.23259516440783e-32
P1/D3,4,0.5,14,53.534779325904,0.225409597161701,53.534779325904,1,0.225409597161701,0
P1/D3,4,0.5,18,195,0.821052631578947,195,1,0.821052631578947,0
P1/D3,4,0.5,26,3.43195365352849e-14,1.44503311727515e-16,3.43195365352849e-14,1,1.44503311727515e-16,0
P1/D3,4,0.7,14,53.534779325904,0.225409597161701,53.534779325904,1,0.225409597161701,0
P1/D3,4,0.7,18,195,0.821052631578947,195,1,0.821052631578947,0
P1/D3,4,0.7,26,3.43195365352849e-14,1.44503311727515e-16,3.43195365352849e-14,1,1.44503311727515e-16,0
P1/D3,4,0.85,14,53.534779325904,0.225409597161701,53.534779325904,1,0.225409597161701,0
P1/D3,4,0.85,18,195,0.821052631578947,195,1,0.821052631578947,0
P1/D3,4,0.85,26,3.43195365352849e-14,1.44503311727515e-16,3.43195365352849e-14,1,1.44503311727515e-16,0
P1/D3,4,1,14,53.534779325904,0.225409597161701,24.8716359060431,0.464588370760471,0.225409597161701,0
P1/D3,4,1,18,195,0.821052631578947,90.5947322982918,0.464588370760471,0.821052631578947,-1.11022302462516e-16
P1/D3,4,1,26,3.43195365352849e-14,1.44503311727515e-16,1.59444575641825e-14,0.464588370760471,1.44503311727515e-16,0
P1/D3,6,0.5,14,53.534779325904,0.338114395742551,53.534779325904,1,0.338114395742551,0
P1/D3,6,0.5,18,195,1.23157894736842,195,1,1.23157894736842,0
P1/D3,6,0.5,26,3.43195365352849e-14,2.16754967591273e-16,3.43195365352849e-14,1,2.16754967591273e-16,2.46519032881566e-32
P1/D3,6,0.7,14,53.534779325904,0.338114395742551,53.534779325904,1,0.338114395742551,0
P1/D3,6,0.7,18,195,1.23157894736842,195,1,1.23157894736842,0
P1/D3,6,0.7,26,3.43195365352849e-14,2.16754967591273e-16,3.43195365352849e-14,1,2.16754967591273e-16,2.46519032881566e-32
P1/D3,6,0.85,14,53.534779325904,0.338114395742551,53.534779325904,1,0.338114395742551,0
P1/D3,6,0.85,18,195,1.23157894736842,195,1,1.23157894736842,0
P1/D3,6,0.85,26,3.43195365352849e-14,2.16754967591273e-16,3.43195365352849e-14,1,2.16754967591273e-16,2.46519032881566e-32
P1/D3,6,1,14,53.534779325904,0.338114395742551,24.8716359061482,0.464588370762434,0.338114395742551,5.55111512312578e-17
P1/D3,6,1,18,195,1.23157894736842,90.5947322986746,0.464588370762434,1.23157894736842,0
P1/D3,6,1,26,3.43195365352849e-14,2.16754967591273e-16,1.59444575642498e-14,0.464588370762434,2.16754967591273e-16,0
P1/D4,2,0.5,10,30.0871145269849,0.0633412937410208,30.0871145269849,1,0.0633412937410208,0
P1/D4,2,0.5,14,240,0.505263157894737,240,1,0.505263157894737,0
P1/D4,2,0.5,18,240,0.505263157894737,240,1,0.505263157894737,0
P1/D4,2,0.7,10,30.0871145269849,0.0633412937410208,30.0871145269849,1,0.0633412937410208,0
P1/D4,2,0.7,14,240,0.505263157894737,240,1,0.505263157894737,0
P1/D4,2,0.7,18,240,0.505263157894737,240,1,0.505263157894737,0
P1/D4,2,0.85,10,30.0871145269849,0.0633412937410208,19.9018243923241,0.661473348481932,0.0633412937410208,0
P1/D4,2,0.85,14,240,0.505263157894737,158.753603635664,0.661473348481932,0.505263157894737,0
P1/D4,2,0.85,18,240,0.505263157894737,158.753603635664,0.661473348481932,0.505263157894737,0
P1/D4,2,1,10,30.0871145269849,0.0633412937410208,7.61662181209096,0.253152285682287,0.0633412937410208,0
P1/D4,2,1,14,240,0.505263157894737,60.7565485637488,0.253152285682287,0.505263157894737,1.11022302462516e-16
