Case,beta_S,P_BESS_total_kW,thermal_BESS_required,Lmax_pct,loadingResidual_signed_pct,Vmin_pu,critical_branch,exitflag,nValidStarts,objSpread_kW,allocSpread_kW,BFS_residual_pu
P1/D1,0.9,107.948599874588,1,100,2.8421709430404e-14,0.943163325738187,2-3,1,16,2.78943534937071e-12,2.7824964554668e-12,1.52636377548544e-13
P1/D2,0.9,461.123596834885,1,100,0,0.946486953981558,2-3,1,16,1.94289029309402e-12,1.9220736113823e-12,9.1332494486394e-14
P1/D3,0.9,738.79589506463,1,100,4.2632564145606e-14,0.944724080216317,2-3,1,16,2.88657986402541e-12,2.94209101525666e-12,1.07644394350308e-13
P1/D4,0.9,1019.28656350747,1,100,2.8421709430404e-14,0.942985171382542,2-3,1,16,2.88657986402541e-12,2.99066327258402e-12,1.28957347953328e-13
P2/D1,0.9,231.924233091896,1,100,2.8421709430404e-14,0.940485844428981,2-3,1,16,1.13231005405279e-05,0.00145789691033072,2.61439373419789e-13
P2/D2,0.9,668.144478112037,1,100,0,0.942788259160765,2-3,1,16,2.77555756156289e-12,2.70616862252382e-12,2.14169828094099e-13
P2/D3,0.9,1003.02550488514,1,100,2.8421709430404e-14,0.939912106231836,2-3,1,16,1.99840144432528e-12,1.99493199737333e-12,2.61124466802292e-13
P2/D4,0.9,1343.35297978308,1,100,2.8421709430404e-14,0.937059524960442,2-3,1,16,2.44249065417534e-12,2.24820162486594e-12,3.46286421778849e-13
P1/D1,1,0,0,92.3202537697789,-7.6797462302211,0.934236028882305,2-3,NaN,0,0,0,4.17461593103414e-13
P1/D2,1,0,0,99.8718417493235,-0.128158250676535,0.916917029133157,5-6,NaN,0,0,0,2.62643312739008e-13
P1/D3,1,248.534779325904,1,100,4.2632564145606e-14,0.924838779571642,5-6,1,16,3.33066907387547e-12,3.33066907387547e-12,9.73034012808586e-13
P1/D4,1,510.087114526985,1,100,2.8421709430404e-14,0.929200258528577,5-6,1,16,2.33146835171283e-12,2.36269337428041e-12,5.45626842714037e-13
P2/D1,1,0,0,95.0675864607536,-4.93241353924644,0.921202716198612,2-3,NaN,0,0,0,2.2475109834604e-13
P2/D2,1,205.343321517954,1,100,2.8421709430404e-14,0.913090987751289,5-6,1,16,0.00200617652551527,0.0189357601803425,5.28336675188502e-13
P2/D3,1,525.473396855429,1,100,7.105427357601e-14,0.919489944657659,5-6,1,16,1.38609991262584e-05,0.00153549231886081,2.72916562096099e-13
P2/D4,1,855.558618708833,1,100,7.105427357601e-14,0.924173945170226,5-6,1,16,9.89351267577376e-07,1.87355914888297e-06,1.98219617578373e-13
P1/D1,1.1,0,0,83.9275034270717,-16.0724965729283,0.934236028882305,2-3,NaN,0,0,0,4.17461593103414e-13
P1/D2,1.1,0,0,90.7925834084759,-9.20741659152414,0.916917029133157,5-6,NaN,0,0,0,2.62643312739008e-13
P1/D3,1.1,0,0,97.7094468393019,-2.29055316069807,0.903510641820738,5-6,NaN,0,0,0,1.25082728406942e-13
P1/D4,1.1,165.239500256701,1,100,2.8421709430404e-14,0.90538626916069,5-6,1,16,0.000776050646633664,0.00480634480641629,7.66863793445967e-13
P2/D1,1.1,0,0,86.4250786006851,-13.5749213993149,0.921202716198612,2-3,NaN,0,0,0,2.2475109834604e-13
P2/D2,1.1,0,0,96.7234309926802,-3.27656900731981,0.894006144487701,5-6,NaN,0,0,0,5.54012195515722e-13
P2/D3,1.1,193.865587938466,1,100,0,0.891725837077328,5-6,1,16,0.00791262926058689,0.240005535804696,6.40499676041205e-13
P2/D4,1.1,506.693278822593,1,100,2.8421709430404e-14,0.898967597775435,5-6,1,16,0.00013433485257508,0.00961483756655675,2.81576080482671e-13
