Case,beta_S,Bus,P_BESS_kW
P1/D1,0.9,6,0
P1/D1,0.9,10,5.3446391608724e-27
P1/D1,0.9,14,17.9485998745881
P1/D1,0.9,18,90
P1/D1,0.9,22,0
P1/D1,0.9,26,0
P1/D2,0.9,6,0
P1/D2,0.9,10,150
P1/D2,0.9,14,150
P1/D2,0.9,18,150
P1/D2,0.9,22,2.88466461084117e-31
P1/D2,0.9,26,11.1235968348851
P1/D3,0.9,6,3.77420217845882e-28
P1/D3,0.9,10,195
P1/D3,0.9,14,195
P1/D3,0.9,18,195
P1/D3,0.9,22,1.08567211531662e-26
P1/D3,0.9,26,153.79589506463
P1/D4,0.9,6,59.2865635074745
P1/D4,0.9,10,240
P1/D4,0.9,14,240
P1/D4,0.9,18,240
P1/D4,0.9,22,0
P1/D4,0.9,26,240
P2/D1,0.9,14,2.52015957009142e-27
P2/D1,0.9,16,51.9242330918957
P2/D1,0.9,17,90
P2/D1,0.9,18,90
P2/D1,0.9,30,0
P2/D1,0.9,33,0
P2/D2,0.9,14,150
P2/D2,0.9,16,150
P2/D2,0.9,17,150
P2/D2,0.9,18,150
P2/D2,0.9,30,2.54411437541813e-14
P2/D2,0.9,33,68.1444781120368
P2/D3,0.9,14,195
P2/D3,0.9,16,195
P2/D3,0.9,17,195
P2/D3,0.9,18,195
P2/D3,0.9,30,28.0255048851407
P2/D3,0.9,33,195
P2/D4,0.9,14,240
P2/D4,0.9,16,240
P2/D4,0.9,17,240
P2/D4,0.9,18,240
P2/D4,0.9,30,143.352979783083
P2/D4,0.9,33,240
P1/D1,1,6,0
P1/D1,1,10,0
P1/D1,1,14,0
P1/D1,1,18,0
P1/D1,1,22,0
P1/D1,1,26,0
P1/D2,1,6,0
P1/D2,1,10,0
P1/D2,1,14,0
P1/D2,1,18,0
P1/D2,1,22,0
P1/D2,1,26,0
P1/D3,1,6,0
P1/D3,1,10,0
P1/D3,1,14,53.534779325904
P1/D3,1,18,195
P1/D3,1,22,0
P1/D3,1,26,3.43195365352849e-14
P1/D4,1,6,0
P1/D4,1,10,30.0871145269849
P1/D4,1,14,240
P1/D4,1,18,240
P1/D4,1,22,0
P1/D4,1,26,0
P2/D1,1,14,0
P2/D1,1,16,0
P2/D1,1,17,0
P2/D1,1,18,0
P2/D1,1,30,0
P2/D1,1,33,0
P2/D2,1,14,2.88889491658085e-31
P2/D2,1,16,7.89117691932418e-15
P2/D2,1,17,55.3433215179537
P2/D2,1,18,150
P2/D2,1,30,1.66740384137303e-14
P2/D2,1,33,8.84563080429838e-15
P2/D3,1,14,5.2971683656446e-14
P2/D3,1,16,135.473396855428
P2/D3,1,17,195
P2/D3,1,18,195
P2/D3,1,30,2.67624425967714e-14
P2/D3,1,33,6.35060481546324e-14
P2/D4,1,14,135.558618708833
P2/D4,1,16,240
P2/D4,1,17,240
P2/D4,1,18,240
P2/D4,1,30,6.49285870657687e-14
P2/D4,1,33,0
P1/D1,1.1,6,0
P1/D1,1.1,10,0
P1/D1,1.1,14,0
P1/D1,1.1,18,0
P1/D1,1.1,22,0
P1/D1,1.1,26,0
P1/D2,1.1,6,0
P1/D2,1.1,10,0
P1/D2,1.1,14,0
P1/D2,1.1,18,0
P1/D2,1.1,22,0
P1/D2,1.1,26,0
P1/D3,1.1,6,0
P1/D3,1.1,10,0
P1/D3,1.1,14,0
P1/D3,1.1,18,0
P1/D3,1.1,22,0
P1/D3,1.1,26,0
P1/D4,1.1,6,3.01797783939294e-15
P1/D4,1.1,10,0
P1/D4,1.1,14,0
P1/D4,1.1,18,165.239500256701
P1/D4,1.1,22,0
P1/D4,1.1,26,0
P2/D1,1.1,14,0
P2/D1,1.1,16,0
P2/D1,1.1,17,0
P2/D1,1.1,18,0
P2/D1,1.1,30,0
P2/D1,1.1,33,0
P2/D2,1.1,14,0
P2/D2,1.1,16,0
P2/D2,1.1,17,0
P2/D2,1.1,18,0
P2/D2,1.1,30,0
P2/D2,1.1,33,0
P2/D3,1.1,14,1.36493135756492e-22
P2/D3,1.1,16,0
P2/D3,1.1,17,5.35856833942103e-22
P2/D3,1.1,18,193.865587938466
P2/D3,1.1,30,7.29475774733609e-23
P2/D3,1.1,33,0
P2/D4,1.1,14,0
P2/D4,1.1,16,26.6932788225933
P2/D4,1.1,17,240
P2/D4,1.1,18,240
P2/D4,1.1,30,7.31489821974327e-28
P2/D4,1.1,33,0
