Case,Permutation_ID,Order1,Order2,Order3,Order4,Order5,Order6,Bus1,Bus2,Bus3,Bus4,Bus5,Bus6,PBESS1_kW,PBESS2_kW,PBESS3_kW,PBESS4_kW,PBESS5_kW,PBESS6_kW,P_BESS_total_kW,Vmin_pu,Lmax_pct,CritFrom,CritTo,BFS_converged,BFS_iterations,BFS_residual_pu,Thermal_feasible,OuterIterations,BisectionSweeps
P1/D3,1,26,22,18,14,10,6,6,10,14,18,22,26,0.190429687499993,0.190429687499993,0.190429687499993,80.9326171875,195,195,471.50390625,0.9142797719931,99.9838423704299,5,6,1,13,3.50529738261028e-13,1,2,1
P1/D3,2,26,22,18,14,6,10,6,10,14,18,22,26,0.190429687499993,0.190429687499993,0.190429687499993,80.9326171875,195,195,471.50390625,0.9142797719931,99.9838423704299,5,6,1,13,3.50529738261028e-13,1,2,1
P1/D3,3,26,22,18,10,14,6,6,10,14,18,22,26,0.190429687499993,0.190429687499993,0.190429687499993,80.9326171875,195,195,471.50390625,0.9142797719931,99.9838423704299,5,6,1,13,3.50529738261028e-13,1,2,1
P1/D3,4,26,22,18,10,6,14,6,10,14,18,22,26,0.190429687499993,0.190429687499993,0.190429687499993,80.9326171875,195,195,471.50390625,0.9142797719931,99.9838423704299,5,6,1,13,3.50529738261028e-13,1,2,1
P1/D3,5,26,22,18,6,14,10,6,10,14,18,22,26,0.190429687499993,0.190429687499993,0.190429687499993,80.9326171875,195,195,471.50390625,0.9142797719931,99.9838423704299,5,6,1,13,3.50529738261028e-13,1,2,1
P1/D3,6,26,22,18,6,10,14,6,10,14,18,22,26,0.190429687499993,0.190429687499993,0.190429687499993,80.9326171875,195,195,471.50390625,0.9142797719931,99.9838423704299,5,6,1,13,3.50529738261028e-13,1,2,1
P1/D3,7,26,22,14,18,10,6,6,10,14,18,22,26,0.190429687499993,0.190429687499993,83.2177734375,0.190429687499993,195,195,473.7890625,0.912397595633145,99.9805029144393,5,6,1,13,4.18981827656828e-13,1,2,1
P1/D3,8,26,22,14,18,6,10,6,10,14,18,22,26,0.190429687499993,0.190429687499993,83.2177734375,0.190429687499993,195,195,473.7890625,0.912397595633145,99.9805029144393,5,6,1,13,4.18981827656828e-13,1,2,1
P1/D3,9,26,22,14,10,18,6,6,10,14,18,22,26,0.190429687499993,0.190429687499993,83.2177734375,0.190429687499993,195,195,473.7890625,0.912397595633145,99.9805029144393,5,6,1,13,4.18981827656828e-13,1,2,1
P1/D3,10,26,22,14,10,6,18,6,10,14,18,22,26,0.190429687499993,0.190429687499993,83.2177734375,0.190429687499993,195,195,473.7890625,0.912397595633145,99.9805029144393,5,6,1,13,4.18981827656828e-13,1,2,1
